id,cat_primary,cat_sub,e_address,e_city,e_state,e_postal,e_zip_full,e_country,loc_county,loc_area_code,loc_FIPS,loc_MSA,loc_PMSA,loc_TZ,loc_DST,loc_LAT_centroid,loc_LAT_poly,loc_LONG_centroid,loc_LONG_poly,biz_name,biz_info,biz_phone,biz_phone_ext,biz_fax,biz_email,web_url,web_meta_title,web_meta_desc,web_meta_keys
15,"Restaurants - All",Restaurants,"44 Waterbury Rd",Prospect,CT,06712,,USA,"New Haven",203,09009,,8880,EST,Y,41.4992,41.5093007,-72.9761,-72.9820937,"Home Town Luncheonette",,"(203) 758-0661",,,,,,,
16,"Restaurants - All","Mexican Restaurants","2203 USHighway 41 North",Cordele,GA,31015,,USA,Crisp,229,13081,,,EST,Y,31.9409,,-83.7787,,"El Huasteco",,"(229) 273-0043",,,,,,,
17,"Restaurants - All",Restaurants,"2329 Romig Rd",Akron,OH,44320,,USA,Summit,330,39153,,0080,EST,Y,41.0789,41.051112,-81.5822,-81.579993,"El Puente Mexican Grill",,"(330) 745-2615",,"(330) 745-2619",,,,,
18,"Restaurants - All","Restaurant Equipment & Services","4418 Tetons Dr","El Paso",TX,79904,,USA,"El Paso",915,48141,2320,,MST,Y,31.8500,31.8575648,-106.4540,-106.4385909,"A M Refrigeration",,"(915) 562-2122",,,,,,,
19,"Restaurants - All","Fast Food Restaurants","1748 E Isaacs Ave","Walla Walla",WA,99362,,USA,"Walla Walla",509,53071,,,PST,Y,46.1270,46.074855,-118.3596,-118.3104282,"Burger King",,"(509) 525-0843",,,,http://www.burgerking.com,,,
20,"Restaurants - All",Restaurants,"7525 E 96th St",Indianapolis,IN,46256,,USA,Marion,317,18097,3480,,EST,N,39.9049,39.926531,-86.0135,-86.035475,"Bobevans Restaurant",,"(317) 913-0604",,,,,,,
21,"Restaurants - All","Barbecue Restaurants","6402 Grape Rd",Mishawaka,IN,46545,,USA,"St Joseph",574,18141,7800,,EST,N,41.6925,41.7175181,-86.1457,-86.1875597,"Famous Dave's Bar-B-Que",,"(574) 277-1888",,,,http://www.famousdaves.com,,,
22,"Restaurants - All","Bar & Grill Restaurants","700 Kansas Ave",Clinton,MO,64735,,USA,Henry,660,29083,,,CST,Y,38.3684,38.3620456,-93.7669,-93.7533268,"Applebee's Neighborhood Grill & Bar",,"(660) 885-7414",,,,http://www.applebees.com,,,
23,"Restaurants - All","Fast Foods & Carry Out","1143 North Brindlee Mountain Park",Arab,AL,35016,,USA,Marshall,256,01095,,,CST,Y,34.3320,34.3181497,-86.4894,-86.4958219,"Arby's Roast Beef Restaurant",,"(256) 586-7464",,,,http://www.arbys.com,,,
24,"Restaurants - All",Restaurants,"5301 NE 2nd Ave",Miami,FL,33137,,USA,Miami-Dade,305,12086,,5000,EST,Y,25.8172,25.8244539,-80.1888,-80.1917402,"China Express",,"(305) 758-8399",,,,,,,
25,"Restaurants - All",Restaurants,"2424 S Oakley Ave",Chicago,IL,60608,,USA,Cook,312,17031,,1600,CST,Y,41.8491,41.8476646,-87.6709,-87.6830793,"Bruna's Ristorante",,"(773) 254-5550",,,,,,,
26,"Restaurants - All","Fast Food Restaurants","400 N Cedar Bluff Rd",Knoxville,TN,37923,,USA,Knox,865,47093,3840,,EST,Y,35.9297,35.9225319,-84.0816,-84.092553,"Arby's Roast Beef Restaurant",,"(865) 693-1445",,,,http://www.arbys.com,,,
27,"Restaurants - All",Restaurants,"2439 S Kihei Rd #205a",Kihei,HI,96753,,USA,Maui,808,15009,,,PST-2,N,20.7651,20.719121,-156.4251,-156.446223,"Tri-Star Restaurant Group",,"(808) 875-6699",,,,,,,
28,"Restaurants - All",Restaurants,"21 W Front St",Skowhegan,ME,04976,,USA,Somerset,207,23025,,,EST,Y,44.8163,44.761978,-69.6519,-69.7182913,"Al's Pizza",,"(207) 474-3100",,,,,,,
29,"Restaurants - All",Restaurants,"157 Elmora Ave",Elizabeth,NJ,07202,,USA,Union,908,34039,,5640,EST,Y,40.6531,40.6623867,-74.2169,-74.233462,"Burgers N Bites Kosher Restaurant",,"(908) 354-6777",,,,,,,
30,"Restaurants - All",Restaurants,"140 N Main St",Manville,NJ,08835,,USA,Somerset,908,34035,,5015,EST,Y,40.5420,40.5459522,-74.5894,-74.5866978,"Frank's Pizza",,"(908) 685-7717",,,,,,,
